timestamp,load (1m),load (5m),load (15m),cpu usr,cpu sys,cpu wait
2016-10-20 10:26:54,11.76,6.88,3.80,19.7%,62.5%,0.5%
2016-10-20 10:28:02,11.33,7.68,4.30,18.0%,61.3%,0.5%
2016-10-20 10:29:09,8.41,7.63,4.52,15.8%,50.7%,0.4%
2016-10-20 10:30:15,7.63,7.62,4.73,15.0%,47.9%,0.4%
2016-10-20 10:31:22,8.80,7.89,5.02,16.9%,52.1%,0.3%
2016-10-20 10:32:28,7.35,7.60,5.12,12.3%,47.5%,0.4%
2016-10-20 10:33:34,6.15,7.14,5.13,13.2%,48.5%,0.7%
2016-10-20 10:34:41,7.63,7.36,5.35,13.4%,47.7%,0.3%
2016-10-20 10:35:48,6.16,7.02,5.37,14.0%,46.9%,0.3%
2016-10-20 10:36:54,6.25,6.82,5.41,14.4%,50.6%,0.3%
2016-10-20 10:38:01,5.22,6.40,5.36,15.4%,53.6%,0.3%
2016-10-20 10:39:07,6.65,6.59,5.50,14.5%,50.7%,0.4%
2016-10-20 10:40:14,7.81,6.93,5.69,12.2%,48.6%,0.4%
2016-10-20 10:41:20,7.45,7.10,5.84,13.0%,47.8%,0.4%
2016-10-20 10:42:27,6.95,7.03,5.90,14.0%,50.6%,0.3%
2016-10-20 10:43:33,7.86,7.18,6.03,12.6%,49.2%,0.5%
2016-10-20 10:44:40,6.77,7.05,6.07,15.5%,54.0%,0.4%
2016-10-20 10:45:47,7.71,7.30,6.23,12.7%,48.7%,0.5%
2016-10-20 10:46:54,7.40,7.33,6.32,13.6%,47.4%,0.2%
2016-10-20 10:48:01,6.03,7.02,6.28,12.3%,46.1%,0.3%
2016-10-20 10:49:07,6.01,6.83,6.27,12.1%,48.8%,0.4%
2016-10-20 10:50:14,6.96,6.89,6.33,14.1%,52.3%,0.4%
2016-10-20 10:51:22,7.12,6.99,6.40,14.5%,50.7%,0.3%
2016-10-20 10:52:29,6.30,6.79,6.37,15.1%,52.0%,0.4%
2016-10-20 10:53:34,5.81,6.66,6.36,13.0%,49.4%,0.4%
2016-10-20 10:54:41,7.16,6.85,6.44,13.1%,48.9%,0.3%
2016-10-20 10:55:48,7.60,7.07,6.55,12.9%,48.8%,0.4%
2016-10-20 10:56:54,7.17,7.07,6.59,13.9%,49.2%,0.3%
2016-10-20 10:58:01,7.24,7.05,6.61,14.9%,50.2%,0.4%
2016-10-20 10:59:06,7.73,7.24,6.71,14.0%,51.7%,0.3%
2016-10-20 11:00:13,5.86,6.84,6.61,13.4%,49.2%,0.5%
2016-10-20 11:01:21,7.18,7.09,6.72,13.3%,47.2%,0.5%
2016-10-20 11:02:28,5.96,6.75,6.63,13.5%,48.1%,0.3%
2016-10-20 11:03:33,6.57,6.71,6.62,14.4%,55.4%,0.4%
2016-10-20 11:04:40,6.36,6.66,6.61,10.8%,43.6%,0.4%
2016-10-20 11:05:46,6.94,6.86,6.69,13.5%,50.3%,0.3%
2016-10-20 11:06:52,7.75,7.04,6.76,13.8%,49.4%,0.3%
2016-10-20 11:07:59,6.69,6.85,6.71,17.3%,52.0%,0.4%
2016-10-20 11:09:05,9.03,7.52,6.96,15.5%,50.7%,0.3%
2016-10-20 11:10:12,8.81,7.76,7.08,16.7%,54.8%,0.4%
2016-10-20 11:11:19,9.70,8.15,7.26,13.2%,47.9%,0.5%
2016-10-20 11:12:26,7.19,7.61,7.13,14.1%,51.5%,0.3%
2016-10-20 11:13:32,7.62,7.73,7.20,13.9%,53.9%,0.3%
2016-10-20 11:14:39,6.46,7.44,7.14,15.0%,51.0%,0.4%
2016-10-20 11:15:44,7.66,7.57,7.21,14.7%,51.4%,0.3%
2016-10-20 11:16:51,7.85,7.62,7.25,14.8%,52.0%,0.3%
2016-10-20 11:17:58,7.67,7.54,7.24,15.5%,53.9%,0.3%
2016-10-20 11:19:04,9.23,8.02,7.43,15.4%,51.0%,0.4%
2016-10-20 11:20:11,8.17,7.92,7.43,14.4%,49.5%,0.4%
2016-10-20 11:21:18,7.63,7.77,7.41,12.3%,48.5%,0.3%
2016-10-20 11:22:25,9.54,8.19,7.58,13.8%,51.2%,0.4%
2016-10-20 11:23:33,9.57,8.34,7.66,12.7%,47.9%,0.3%
2016-10-20 11:24:38,7.43,7.91,7.56,14.2%,50.7%,0.5%
2016-10-20 11:25:45,7.70,7.89,7.57,15.8%,54.3%,0.4%
2016-10-20 11:26:52,7.45,7.80,7.56,14.7%,53.7%,0.3%
2016-10-20 11:27:58,6.59,7.42,7.44,14.1%,49.6%,0.2%
2016-10-20 11:29:04,6.36,7.12,7.34,12.3%,45.5%,0.4%
2016-10-20 11:30:11,7.77,7.32,7.39,12.2%,43.5%,0.3%
2016-10-20 11:31:17,7.64,7.41,7.41,15.2%,52.2%,0.3%
2016-10-20 11:32:24,7.34,7.34,7.39,14.0%,51.4%,0.4%
