timestamp,load (1m),load (5m),load (15m),cpu usr,cpu sys,cpu wait
2016-10-20 12:00:39,7.72,2.57,3.29,29.8%,56.5%,1.2%
2016-10-20 12:01:46,10.17,4.50,3.91,21.6%,59.5%,0.9%
2016-10-20 12:02:53,11.64,6.02,4.48,21.2%,59.2%,0.8%
2016-10-20 12:04:00,12.19,7.32,5.04,17.7%,59.7%,0.6%
2016-10-20 12:05:06,8.46,7.20,5.15,14.5%,51.6%,0.6%
2016-10-20 12:06:11,9.45,7.64,5.45,14.1%,52.1%,0.5%
2016-10-20 12:07:18,8.29,7.71,5.63,14.6%,52.0%,0.6%
2016-10-20 12:08:24,7.26,7.54,5.71,15.0%,52.8%,0.6%
2016-10-20 12:09:31,7.32,7.54,5.84,14.4%,52.5%,0.5%
2016-10-20 12:10:36,8.01,7.73,6.02,14.3%,50.0%,0.3%
2016-10-20 12:11:42,7.95,7.72,6.14,14.2%,51.0%,0.4%
2016-10-20 12:12:50,9.50,8.18,6.41,13.7%,51.1%,0.4%
2016-10-20 12:13:57,8.92,8.21,6.54,13.1%,50.6%,0.4%
2016-10-20 12:15:02,9.33,8.50,6.75,13.9%,51.5%,0.4%
2016-10-20 12:16:07,9.82,8.75,6.97,15.4%,53.6%,0.3%
2016-10-20 12:17:15,7.69,8.42,6.98,15.6%,51.6%,0.3%
2016-10-20 12:18:22,6.94,8.02,6.94,14.7%,51.1%,0.4%
2016-10-20 12:19:29,9.91,8.59,7.20,12.6%,51.2%,0.3%
2016-10-20 12:20:35,8.47,8.45,7.25,15.4%,52.5%,0.4%
2016-10-20 12:21:42,7.86,8.29,7.28,14.7%,52.6%,0.3%
2016-10-20 12:22:49,8.34,8.27,7.34,15.4%,53.6%,0.4%
2016-10-20 12:23:55,7.14,7.97,7.30,15.0%,52.4%,0.3%
2016-10-20 12:25:03,7.31,7.92,7.34,13.7%,52.2%,0.3%
2016-10-20 12:26:10,8.77,8.23,7.49,13.9%,51.2%,0.4%
2016-10-20 12:27:17,8.05,8.10,7.49,14.2%,51.2%,0.3%
2016-10-20 12:28:25,8.82,8.33,7.62,13.9%,51.2%,0.3%
2016-10-20 12:29:30,7.69,8.11,7.59,16.1%,52.8%,0.4%
2016-10-20 12:30:36,10.09,8.65,7.81,15.0%,52.4%,0.4%
2016-10-20 12:31:44,7.69,8.20,7.71,14.2%,51.5%,0.3%
2016-10-20 12:32:50,7.66,8.03,7.68,15.1%,52.2%,0.4%
2016-10-20 12:33:57,7.51,7.97,7.68,13.4%,50.7%,0.5%
2016-10-20 12:35:04,8.23,8.07,7.73,13.7%,49.7%,0.4%
2016-10-20 12:36:08,7.79,7.85,7.67,14.9%,52.3%,0.3%
2016-10-20 12:37:15,8.39,8.00,7.74,14.8%,51.9%,0.3%
2016-10-20 12:38:20,8.19,7.93,7.73,14.8%,50.8%,0.4%
2016-10-20 12:39:26,7.72,7.88,7.73,14.8%,51.7%,0.4%
2016-10-20 12:40:33,7.33,7.70,7.67,15.1%,50.9%,0.4%
2016-10-20 12:41:39,8.02,7.81,7.71,12.8%,50.0%,0.4%
2016-10-20 12:42:45,7.53,7.72,7.68,14.6%,51.2%,0.3%
2016-10-20 12:43:51,7.11,7.57,7.64,13.7%,51.4%,0.3%
2016-10-20 12:44:58,7.76,7.58,7.63,16.5%,52.5%,0.3%
2016-10-20 12:46:05,7.96,7.71,7.67,13.4%,49.3%,0.4%
2016-10-20 12:47:13,8.65,7.93,7.75,14.9%,51.5%,0.4%
2016-10-20 12:48:18,7.44,7.74,7.70,14.2%,51.5%,0.4%
2016-10-20 12:49:25,6.58,7.47,7.61,14.7%,51.4%,0.3%
2016-10-20 12:50:33,6.84,7.40,7.57,13.5%,48.7%,0.4%
2016-10-20 12:51:38,7.26,7.37,7.55,13.9%,51.2%,0.3%
2016-10-20 12:52:45,8.00,7.49,7.57,13.0%,51.0%,0.3%
2016-10-20 12:53:50,8.15,7.58,7.60,14.4%,52.0%,0.3%
2016-10-20 12:54:57,8.88,7.81,7.67,15.0%,51.8%,0.4%
2016-10-20 12:56:05,9.10,8.03,7.75,17.5%,53.1%,0.4%
2016-10-20 12:57:10,9.71,8.47,7.92,14.4%,51.3%,0.3%
2016-10-20 12:58:17,8.75,8.41,7.94,13.8%,51.8%,0.4%
2016-10-20 12:59:23,7.21,8.00,7.83,13.6%,51.6%,0.4%
2016-10-20 13:00:30,7.56,7.97,7.83,21.6%,52.1%,1.7%
2016-10-20 13:01:37,6.63,7.59,7.71,16.2%,53.0%,0.4%
2016-10-20 13:02:45,7.60,7.71,7.74,13.3%,49.5%,0.3%
2016-10-20 13:03:51,7.23,7.56,7.69,13.3%,49.5%,0.4%
2016-10-20 13:04:57,7.70,7.58,7.68,12.9%,50.4%,0.3%
2016-10-20 13:06:04,9.12,8.09,7.86,14.8%,51.8%,0.3%
